URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.790",TaskStatus,TaskStatus,"The current status of the task.","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/timing-abbreviation,4.0.1,draft,"2.16.840.1.113883.4.642.3.78",TimingAbbreviation,TimingAbbreviation,"Code for a known / defined timing pattern.","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","THO (V3)"
http://hl7.org/fhir/ValueSet/units-of-time,4.0.1,active,"2.16.840.1.113883.4.642.3.77",UnitsOfTime,UnitsOfTime,"A unit of time (units from UCUM).","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","UCUM"
http://terminology.hl7.org/ValueSet/v3-ActSubstanceAdminSubstitutionCode,2014-03-26,active,"2.16.840.1.113883.1.11.16621",v3.ActSubstanceAdminSubstitutionCode,V3 Value SetActSubstanceAdminSubstitutionCode,"No Description Provided","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-SubstanceAdminSubstitutionReason,2014-03-26,active,"2.16.840.1.113883.1.11.19377",v3.SubstanceAdminSubstitutionReason,V3 Value SetSubstanceAdminSubstitutionReason,"No Description Provided","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","THO (V3)"
https://hl7.fr/ig/fhir/analyse-pharma/ValueSet/fr-pharmaceutical-analysis-perfomer-type-value-set,0.1.0-ballot,draft,,FrPharmaceuticalAnalysisPerformerTypeValueSet,Jeu de valeurs Interop'Santé - Codes de résultat d'analyse pharmaceutique,"Codes représentant le type de résultat de l'analyse pharmaceutique","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","ans.fr.nos"
https://hl7.fr/ig/fhir/analyse-pharma/ValueSet/fr-pharmaceutical-analysis-result-code-value-set,0.1.0-ballot,draft,,FrPharmaceuticalAnalysisResultCodeValueSet,Jeu de valeurs Interop'Santé - Codes de résultat d'analyse pharmaceutique,"Codes représentant le type de résultat de l'analyse pharmaceutique","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","Internal"
https://hl7.fr/ig/fhir/analyse-pharma/ValueSet/fr-pharmaceutical-intervention-devenir-code-value-set,0.1.0-ballot,draft,,FrPharmaceuticalInterventionDevenirCodeValueSet,Jeu de valeurs Interop'Santé - Codes de devenir de l'intervention pharmaceutique,"Codes représentant le devenir de l'intervention pharmaceutique","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","Internal"
https://hl7.fr/ig/fhir/analyse-pharma/ValueSet/fr-pharmaceutical-intervention-problem-code-value-set,0.1.0-ballot,draft,,FrPharmaceuticalInterventionProblemCodeValueSet,Jeu de valeurs Interop'Santé - Codes du problème identifié dans l'intervention pharmaceutique,"Codes représentant le problème identifié dans l'intervention pharmaceutique","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","Internal"
https://hl7.fr/ig/fhir/analyse-pharma/ValueSet/fr-pharmaceutical-intervention-type-code-value-set,0.1.0-ballot,draft,,FrPharmaceuticalInterventionTypeCodeValueSet,Jeu de valeurs Interop'Santé - Codes du type d'intervention pharmaceutique,"Codes représentant le type d'intervention pharmaceutique","StructureDefinition/fr-inpatient-pharmaceutical-analysis-result","Internal"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/FrMethodOfAdministration,1.1.0-ballot,draft,,FrMethodOfAdministration,French Method Of Administration,"Le jeu de valeurs à utiliser pour coder l'élément *dosageInstruction.method* de la ressource *FRMedicationRequest*.","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-inpatient-medication-code,1.1.0-ballot,draft,,FRInpatientMedicationCodes,value set Interop'Santé - Codes identifiant les médicaments destinés à être prescrits en milieu hospitalier,"Le jeu de valeurs à utiliser pour indiquer le médicament dans Medication.code.coding.code","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-route-of-administration,1.1.0-ballot,draft,,FrRouteOfAdministration,French Route of Administration,"Le jeu de valeurs à utiliser pour coder l'élément *dosageInstruction.route* de la ressource *FRMedicationRequest*.","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-treatment-intent,1.1.0-ballot,draft,,FrTreatmentIntent,French overall intention of the treatment,"Le jeu de valeurs à utiliser pour coder l'élément *treatmentIntent* de la ressource *FRInpatientMedicationRequest*.","StructureDefinition/fr-inpatient-pharmaceutical-intervention-suggestion","SCT"
